"fixture","left","right","left_to_right","right_to_left"
"England","Albin Ekdal","Andreas Granqvist",2,2
"England","Albin Ekdal","Emil Forsberg",1,0
"England","Albin Ekdal","Emil Krafth",4,3
"England","Albin Ekdal","Ludwig Augustinsson",7,5
"England","Albin Ekdal","Marcus Berg",0,1
"England","Albin Ekdal","Martin Olsson",0,1
"England","Albin Ekdal","Sebastian Larsson",4,1
"England","Albin Ekdal","Victor Nilsson Lindelöf",4,3
"England","Albin Ekdal","Viktor Claesson",3,0
"England","Andreas Granqvist","Emil Forsberg",2,1
"England","Andreas Granqvist","Emil Krafth",2,1
"England","Andreas Granqvist","Ludwig Augustinsson",8,4
"England","Andreas Granqvist","Martin Olsson",3,1
"England","Andreas Granqvist","Pontus Jansson",0,1
"England","Andreas Granqvist","Robin Olsen",2,3
"England","Andreas Granqvist","Sebastian Larsson",3,3
"England","Andreas Granqvist","Victor Nilsson Lindelöf",6,6
"England","Andreas Granqvist","Viktor Claesson",1,0
"England","Emil Forsberg","Emil Krafth",1,0
"England","Emil Forsberg","Ludwig Augustinsson",7,5
"England","Emil Forsberg","Marcus Berg",1,1
"England","Emil Forsberg","Ola Toivonen",1,2
"England","Emil Forsberg","Sebastian Larsson",0,3
"England","Emil Forsberg","Viktor Claesson",2,3
"England","Emil Krafth","Marcus Berg",2,1
"England","Emil Krafth","Ola Toivonen",2,0
"England","Emil Krafth","Robin Olsen",2,2
"England","Emil Krafth","Sebastian Larsson",6,6
"England","Emil Krafth","Victor Nilsson Lindelöf",4,11
"England","Emil Krafth","Viktor Claesson",3,7
"England","John Guidetti","Marcus Berg",1,0
"England","John Guidetti","Martin Olsson",2,0
"England","Ludwig Augustinsson","Marcus Berg",3,2
"England","Ludwig Augustinsson","Martin Olsson",1,2
"England","Ludwig Augustinsson","Ola Toivonen",3,2
"England","Ludwig Augustinsson","Robin Olsen",3,1
"England","Ludwig Augustinsson","Sebastian Larsson",0,3
"England","Ludwig Augustinsson","Victor Nilsson Lindelöf",3,1
"England","Marcus Berg","Ola Toivonen",2,3
"England","Marcus Berg","Sebastian Larsson",1,0
"England","Marcus Berg","Viktor Claesson",3,3
"England","Martin Olsson","Sebastian Larsson",2,1
"England","Ola Toivonen","Sebastian Larsson",2,0
"England","Ola Toivonen","Viktor Claesson",2,3
"England","Pontus Jansson","John Guidetti",2,0
"England","Pontus Jansson","Sebastian Larsson",0,1
"England","Pontus Jansson","Viktor Claesson",0,1
"England","Robin Olsen","Albin Ekdal",1,0
"England","Robin Olsen","Marcus Berg",1,0
"England","Robin Olsen","Martin Olsson",1,0
"England","Robin Olsen","Sebastian Larsson",1,1
"England","Robin Olsen","Victor Nilsson Lindelöf",3,4
"England","Sebastian Larsson","John Guidetti",1,0
"England","Sebastian Larsson","Victor Nilsson Lindelöf",2,6
"England","Sebastian Larsson","Viktor Claesson",6,1
"England","Victor Nilsson Lindelöf","Emil Forsberg",1,0
"England","Victor Nilsson Lindelöf","Ola Toivonen",1,0
"England","Victor Nilsson Lindelöf","Viktor Claesson",6,4
"England","Viktor Claesson","John Guidetti",4,0
"England","Viktor Claesson","Ludwig Augustinsson",1,0
"Germany","Albin Ekdal","Andreas Granqvist",1,1
"Germany","Albin Ekdal","Emil Forsberg",0,2
"Germany","Albin Ekdal","Ludwig Augustinsson",7,2
"Germany","Albin Ekdal","Marcus Berg",0,3
"Germany","Albin Ekdal","Sebastian Larsson",2,6
